Group,Task_Type,Summary
ENERGY_MOOD,Regression,"{'Model': 'Ridge', 'Score': 0.3813, 'Params': {'estimator__alpha': 10.0, 'estimator__solver': 'saga'}}"
ENERGY_MOOD,Regression,"{'Model': 'Lasso', 'Score': 0.3901, 'Params': {'estimator__alpha': 0.002607561775704386, 'estimator__selection': 'cyclic'}}"
ENERGY_MOOD,Regression,"{'Model': 'ElasticNet', 'Score': 0.3901, 'Params': {'estimator__alpha': 0.005426972348943854, 'estimator__l1_ratio': 0.45299488547151556, 'estimator__selection': 'cyclic'}}"
ENERGY_MOOD,Regression,"{'Model': 'Random Forest', 'Score': 0.3482, 'Params': {'estimator__max_depth': 17, 'estimator__max_features': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 3, 'estimator__n_estimators': 310}}"
ENERGY_MOOD,Regression,"{'Model': 'SVM', 'Score': 0.4122, 'Params': {'estimator__C': 1.0657845984340375, 'estimator__epsilon': 0.06508207927956049, 'estimator__gamma': 0.0027842619799872204}}"
PRODUCTION,Regression,"{'Model': 'Ridge', 'Score': 0.2409, 'Params': {'estimator__alpha': 10.0, 'estimator__solver': 'saga'}}"
PRODUCTION,Regression,"{'Model': 'Lasso', 'Score': 0.2624, 'Params': {'estimator__alpha': 0.006538099964110018, 'estimator__selection': 'cyclic'}}"
PRODUCTION,Regression,"{'Model': 'ElasticNet', 'Score': 0.2628, 'Params': {'estimator__alpha': 0.06509865304022165, 'estimator__l1_ratio': 0.10153594707907124, 'estimator__selection': 'random'}}"
PRODUCTION,Regression,"{'Model': 'Random Forest', 'Score': 0.2552, 'Params': {'estimator__max_depth': 10, 'estimator__max_features': None, 'estimator__min_samples_leaf': 7, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 350}}"
PRODUCTION,Regression,"{'Model': 'SVM', 'Score': 0.2408, 'Params': {'estimator__C': 25.041499136197736, 'estimator__epsilon': 0.09322554542377544, 'estimator__gamma': 0.0003800674800490907}}"
STRUCTURE,Regression,"{'Model': 'Ridge', 'Score': 0.0241, 'Params': {'alpha': 10.0, 'solver': 'saga'}}"
STRUCTURE,Regression,"{'Model': 'Lasso', 'Score': 0.0765, 'Params': {'alpha': 0.00210516474477174, 'selection': 'cyclic'}}"
STRUCTURE,Regression,"{'Model': 'ElasticNet', 'Score': 0.0765, 'Params': {'alpha': 0.004223670326836847, 'l1_ratio': 0.4822498536923371, 'selection': 'random'}}"
STRUCTURE,Regression,"{'Model': 'Random Forest', 'Score': 0.063, 'Params': {'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 150}}"
STRUCTURE,Regression,"{'Model': 'SVM', 'Score': 0.0896, 'Params': {'C': 60.5214062972065, 'epsilon': 0.02139333307605589, 'gamma': 0.00015755396722878573}}"
KEY,Classification,"{'Model': 'Random Forest', 'Score': 0.1312, 'Params': {'bootstrap': True, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 10, 'n_estimators': 337}}"
KEY,Classification,"{'Model': 'SVM', 'Score': 0.1375, 'Params': {'C': 19.986711327895424, 'gamma': 0.010446417604534108}}"
MODE,Classification,"{'Model': 'Random Forest', 'Score': 0.548, 'Params': {'bootstrap': False, 'max_depth': 19, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 5, 'n_estimators': 160}}"
MODE,Classification,"{'Model': 'SVM', 'Score': 0.5457, 'Params': {'C': 1.504264775088212, 'gamma': 0.001}}"
TEMPO_BINS,Classification,"{'Model': 'Random Forest', 'Score': 0.2624, 'Params': {'bootstrap': True, 'max_depth': 11, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 350}}"
TEMPO_BINS,Classification,"{'Model': 'SVM', 'Score': 0.2676, 'Params': {'C': 3.0249194238453407, 'gamma': 0.0068420002336432376}}"
